,Band,New Songs Per Year,Song Gaps,Top 10 Song Frequency,Top 10 Song Placement
0,Vampire Weekend,0.26931656637013784,0.16925978299549443,0.16424630991394673,0.1339748298365437
1,Arcade Fire,0.423692796897204,0.18091641501035138,0.22713131551171717,0.31561933293370903
2,Beck,0.4584600237153427,0.3605524001762794,0.3453571639640124,0.36792667457279116
3,Pearl Jam,0.3505510671694241,0.4753179769170515,0.29021656505072146,0.2784149107934785
4,Phish,0.31476786081121133,0.8671887131572233,0.6982863524361441,0.4476669627130322
5,Grateful Dead,0.25700745256196916,0.7548271680807861,0.6176298210989343,0.13250833080810198
6,Metallica,0.3049757836281751,0.14897270119448708,0.13846998766912155,0.29794350151127647
7,Radiohead,0.3112014391542875,0.2864198652304862,0.38351610970284467,0.37410251739555817
8,Foo Fighters,0.40526328158348673,0.16895172546968373,0.24326119677458058,0.4128144141785362
9,Muse,0.35982095981829637,0.1354600601749373,0.20869989781159437,0.34842478209485883
10,Iron Maiden,0.34575768884053976,0.024166172327216653,0.21976323859073366,0.28546372057594965
11,U2,0.4775270960840979,0.1313372612614649,0.27434487099547566,0.22910526590961372
12,Red Hot Chili Peppers,0.4247256044469228,0.3758106046683144,0.2988662681307538,0.3058799145498987
13,The Rolling Stones,0.4373082735428404,0.17379475030638003,0.14704256214495293,0.41126871526642694
14,Dave Matthews Band,0.2684424761035306,0.5471069027147484,0.5486944650336252,0.4015310987788777
15,Tame Impala,0.34185794590018315,0.11991207659761981,0.21384374374875437,0.24087230107353944
16,LCD Soundsystem,0.3432846003898635,0.11526398670324386,0.11014549263231255,0.3059100050276521
17,The Avett Brothers,0.3570263336125666,0.5121100363401943,0.3808457561410912,0.40419106679404165
18,Ween,0.27643170315512017,0.5328572412272647,0.32780448559827746,0.33682802141876583
19,Neil Young,0.6242172714598876,0.2404651774946423,0.6289749373198121,0.4243918503536218
20,Bruce Springteen,0.5459807228406294,0.2575459021820864,0.4204726245808216,0.2925843657210635
21,King Gizzard,0.45542208210441754,0.31932301923252326,0.3653121981296338,0.4296401770743876
22,Billy Strings,0.6306875849615524,0.8111112739759198,0.6368303330559988,0.4680425823677775
23,Bob Dylan,0.39133826680165446,0.38844347169257953,0.5428264526742058,0.41678968702865765
24,Jimmy Buffett,0.43221600157707984,0.2550143832302848,0.13873345443827356,0.3068961453363737
25,Dream Theater,0.5926193561256355,0.19585415817704988,0.6507888404431049,0.32202486196294244
26,Animal Collective,0.5551201090293894,0.29334962962819106,0.6406014897736408,0.3568451687201687
27,Wilco,0.2894216789360849,0.30520355268302773,0.27055873652728457,0.30002235720812614
28,String Cheese Incident,0.3813695223623949,0.9320507428702948,0.7644093501522143,0.44894007183813184
29,Medeski Martin Wood,0.5593652857816946,0.6667454306816833,0.6942557139188874,0.3176712868315036
30,My Morning Jacket,0.33608541821125204,0.40389557713176,0.33530974539744585,0.4083657307576661
31,Portugal. the Man,0.41256695956829753,0.2604152215287263,0.2889557078846071,0.38713065250023454
32,moe.,0.3146001902954892,0.8945852676049098,0.7099005458301885,0.4636924722762319
33,Santana,0.48152275319235216,0.23511661015315322,0.3403740021749667,0.33712604138805513
34,Frank Zappa,0.6199772965354771,0.42227080012051016,0.6132703290167879,0.39506093346224924
35,Billy Joel,0.44051176371789164,0.1973810090924372,0.20153890196026503,0.25534677812154594
36,Goose,0.536370427168352,0.8346636585587073,0.640573740910632,0.4294462767624532
37,Greensky Bluegrass,0.5587982261683648,0.8587125295214905,0.6710749478331826,0.49459546395969534
38,Widespread Panic,0.2095824465326075,0.8315942860244414,0.6259950888609223,0.4211821921964606
39,Umphreys McGee,0.302464268606226,0.9183459737355204,0.7456950377851032,0.47516063746419446
40,STS9,0.29893606900401437,0.8672301205481997,0.7066981028493321,0.496214229097356
41,Disco Biscuits,0.48595007172568155,0.9134258925151595,0.7736845627698148,0.4444688073364544
42,Jason Isbell,0.286257439734215,0.2341575734370867,0.21475934373489347,0.27695983931770213
43,Drive-By Truckers,0.2732975640049392,0.5137143278536664,0.40528237173850534,0.3727410209641829
44,Railroad Earth,0.41445486748678023,0.8589505151105933,0.6840097446220397,0.5118304339279571
45,The National,0.35223727903808755,0.2181070702881161,0.2623533540664569,0.10652474051875048
46,Talking Heads,0.2580913978494624,0.1371925465230181,0.16574395158555733,0.2810036712513493
47,Van Morrison,0.52684619658232,0.46376163315921615,0.5878871153648799,0.3627063876283152
48,Bon Iver,0.3721164894009844,0.20425316060623316,0.2988843978287725,0.35010031961502547
49,Tom Petty,0.46123774005306584,0.15747639600651067,0.18465311396597284,0.2056318662268319
50,Steely Dan,0.3749589211884123,0.16371713223096596,0.17036656769713798,0.2059038270325119
51,Clutch,0.2690688734996859,0.46021451464521806,0.5003336914599626,0.3849986178681999
52,Kendrick Lamar,0.36853749464764846,0.18429585288134198,0.04003845486994595,0.22268158614840536
53,Kanye West,0.45863687518427904,0.2223131037442039,0.3066330558927698,0.22234825524451035
54,Beyonce,0.49816232569145374,0.07363293117980542,0.2525083215833507,0.30875730666266343
55,Jay-Z,0.5717670526594629,0.23716722788657565,0.19708852894619577,0.34578857901279375
56,Stevie Wonder,0.5370105147817298,0.37345667326008275,0.5148346197553186,0.29878280896725506
57,Prince,0.5466604953697546,0.4134435536618919,0.5765785424926111,0.4633536988460192
