,song,placement,date,year,Percent Whole,hover
0,Savor,0.3333333333333333,22-05-1970,1970,33.33,33.33% into Show
1,Savor,0.3,28-06-1970,1970,30.0,30.0% into Show
2,Savor,0.21428571428571427,18-08-1970,1970,21.43,21.43% into Show
3,Savor,0.1875,10-09-1970,1970,18.75,18.75% into Show
4,Savor,0.36363636363636365,12-09-1970,1970,36.36,36.36% into Show
5,Savor,0.1111111111111111,26-09-1970,1970,11.11,11.11% into Show
6,Savor,0.3333333333333333,14-10-1970,1970,33.33,33.33% into Show
7,Savor,0.2,22-03-1971,1971,20.0,20.0% into Show
8,Savor,0.2,22-03-1971,1971,20.0,20.0% into Show
9,Savor,0.23076923076923078,23-03-1971,1971,23.08,23.08% into Show
10,Savor,0.3,03-04-1971,1971,30.0,30.0% into Show
11,Savor,0.5,18-04-1971,1971,50.0,50.0% into Show
12,Savor,0.5,20-04-1971,1971,50.0,50.0% into Show
13,Savor,0.7,25-04-1971,1971,70.0,70.0% into Show
14,Savor,0.75,27-04-1971,1971,75.0,75.0% into Show
15,Savor,0.46153846153846156,04-07-1971,1971,46.15,46.15% into Show
16,Savor,0.5,28-09-1971,1971,50.0,50.0% into Show
17,Savor,0.5,11-10-1971,1971,50.0,50.0% into Show
18,Savor,0.4666666666666667,12-10-1971,1971,46.67,46.67% into Show
19,Savor,0.4,18-10-1971,1971,40.0,40.0% into Show
20,Savor,0.5294117647058824,06-11-1971,1971,52.94,52.94% into Show
21,Savor,0.631578947368421,17-02-1973,1973,63.16,63.16% into Show
22,Savor,0.16666666666666666,21-06-1973,1973,16.67,16.67% into Show
23,Savor,0.25,01-07-1973,1973,25.0,25.0% into Show
24,Savor,0.2222222222222222,04-07-1973,1973,22.22,22.22% into Show
25,Savor,0.18181818181818182,05-07-1973,1973,18.18,18.18% into Show
26,Savor,0.18518518518518517,06-07-1973,1973,18.52,18.52% into Show
27,Savor,0.35714285714285715,07-07-1973,1973,35.71,35.71% into Show
28,Savor,0.5555555555555556,10-07-1973,1973,55.56,55.56% into Show
29,Savor,0.16666666666666666,12-08-1973,1973,16.67,16.67% into Show
30,Savor,0.2222222222222222,15-08-1973,1973,22.22,22.22% into Show
31,Savor,0.2,16-08-1973,1973,20.0,20.0% into Show
32,Savor,0.16666666666666666,17-08-1973,1973,16.67,16.67% into Show
33,Savor,0.18181818181818182,18-08-1973,1973,18.18,18.18% into Show
34,Savor,0.19047619047619047,30-09-1973,1973,19.05,19.05% into Show
35,Savor,0.38461538461538464,07-10-1973,1973,38.46,38.46% into Show
36,Savor,0.26666666666666666,13-10-1973,1973,26.67,26.67% into Show
37,Savor,0.19047619047619047,18-10-1973,1973,19.05,19.05% into Show
38,Savor,0.21052631578947367,19-10-1973,1973,21.05,21.05% into Show
39,Savor,0.2857142857142857,23-11-1973,1973,28.57,28.57% into Show
40,Savor,0.23529411764705882,25-11-1973,1973,23.53,23.53% into Show
41,Savor,0.2857142857142857,30-11-1973,1973,28.57,28.57% into Show
42,Savor,0.23529411764705882,31-12-1973,1973,23.53,23.53% into Show
43,Savor,0.2857142857142857,22-07-1974,1974,28.57,28.57% into Show
44,Savor,0.2857142857142857,25-07-1974,1974,28.57,28.57% into Show
45,Savor,0.2857142857142857,28-07-1974,1974,28.57,28.57% into Show
46,Savor,0.2857142857142857,09-08-1974,1974,28.57,28.57% into Show
47,Savor,0.2222222222222222,11-08-1974,1974,22.22,22.22% into Show
48,Savor,0.2857142857142857,18-08-1974,1974,28.57,28.57% into Show
49,Savor,0.4444444444444444,31-08-1974,1974,44.44,44.44% into Show
50,Savor,0.2857142857142857,01-09-1974,1974,28.57,28.57% into Show
51,Savor,0.3333333333333333,13-09-1974,1974,33.33,33.33% into Show
52,Savor,0.2857142857142857,14-09-1974,1974,28.57,28.57% into Show
53,Savor,0.3333333333333333,15-09-1974,1974,33.33,33.33% into Show
54,Savor,0.3076923076923077,18-09-1974,1974,30.77,30.77% into Show
55,Savor,0.2857142857142857,20-09-1974,1974,28.57,28.57% into Show
56,Savor,0.2857142857142857,23-09-1974,1974,28.57,28.57% into Show
57,Savor,0.2857142857142857,24-09-1974,1974,28.57,28.57% into Show
58,Savor,0.3076923076923077,27-09-1974,1974,30.77,30.77% into Show
59,Savor,0.3076923076923077,29-09-1974,1974,30.77,30.77% into Show
60,Savor,0.2857142857142857,03-10-1974,1974,28.57,28.57% into Show
61,Savor,0.125,04-10-1974,1974,12.5,12.5% into Show
62,Savor,0.2857142857142857,06-10-1974,1974,28.57,28.57% into Show
63,Savor,0.14285714285714285,14-10-1974,1974,14.29,14.29% into Show
64,Savor,0.2727272727272727,15-10-1974,1974,27.27,27.27% into Show
65,Savor,0.4,28-10-1974,1974,40.0,40.0% into Show
66,Savor,0.26666666666666666,03-12-1974,1974,26.67,26.67% into Show
67,Savor,0.26666666666666666,07-12-1974,1974,26.67,26.67% into Show
68,Savor,0.26666666666666666,08-12-1974,1974,26.67,26.67% into Show
69,Savor,0.3333333333333333,09-12-1974,1974,33.33,33.33% into Show
70,Savor,0.26666666666666666,14-12-1974,1974,26.67,26.67% into Show
71,Savor,0.14285714285714285,10-04-1975,1975,14.29,14.29% into Show
72,Savor,0.125,11-04-1975,1975,12.5,12.5% into Show
73,Savor,0.125,12-04-1975,1975,12.5,12.5% into Show
74,Savor,0.21428571428571427,18-04-1975,1975,21.43,21.43% into Show
75,Savor,0.5714285714285714,20-04-1975,1975,57.14,57.14% into Show
76,Savor,0.125,25-05-1975,1975,12.5,12.5% into Show
77,Savor,0.09090909090909091,28-05-1975,1975,9.09,9.09% into Show
78,Savor,0.18181818181818182,29-05-1975,1975,18.18,18.18% into Show
79,Savor,0.2,20-06-1975,1975,20.0,20.0% into Show
80,Savor,0.2222222222222222,21-06-1975,1975,22.22,22.22% into Show
81,Savor,0.2222222222222222,25-06-1975,1975,22.22,22.22% into Show
82,Savor,0.25,26-06-1975,1975,25.0,25.0% into Show
83,Savor,0.2222222222222222,01-07-1975,1975,22.22,22.22% into Show
84,Savor,0.2222222222222222,14-09-1975,1975,22.22,22.22% into Show
85,Savor,0.16666666666666666,17-09-1975,1975,16.67,16.67% into Show
86,Savor,0.2857142857142857,20-09-1975,1975,28.57,28.57% into Show
87,Savor,0.3333333333333333,11-10-1975,1975,33.33,33.33% into Show
88,Savor,0.1,15-11-1975,1975,10.0,10.0% into Show
89,Savor,0.18181818181818182,31-12-1975,1975,18.18,18.18% into Show
90,Savor,0.14285714285714285,20-02-1976,1976,14.29,14.29% into Show
91,Savor,0.16666666666666666,22-02-1976,1976,16.67,16.67% into Show
92,Savor,0.16666666666666666,25-02-1976,1976,16.67,16.67% into Show
93,Savor,0.125,06-03-1976,1976,12.5,12.5% into Show
94,Savor,0.2857142857142857,11-03-1976,1976,28.57,28.57% into Show
95,Savor,0.14285714285714285,12-03-1976,1976,14.29,14.29% into Show
96,Savor,0.16666666666666666,13-03-1976,1976,16.67,16.67% into Show
97,Savor,0.2222222222222222,16-03-1976,1976,22.22,22.22% into Show
98,Savor,0.4166666666666667,19-04-1976,1976,41.67,41.67% into Show
99,Savor,0.4444444444444444,07-05-1976,1976,44.44,44.44% into Show
100,Savor,0.38461538461538464,08-05-1976,1976,38.46,38.46% into Show
101,Savor,0.5,10-11-1976,1976,50.0,50.0% into Show
102,Savor,0.7333333333333333,11-11-1976,1976,73.33,73.33% into Show
103,Savor,0.6666666666666666,05-12-1976,1976,66.67,66.67% into Show
